Gene ID,TCGA-38-4625-11A-01R-1758-07,TCGA-38-4625-01A-01R-1758-07
ADAMTSL5|339366,9.9889,25.8524
ADAP1|11033,123.1299,624.7621
ADAP2|55803,310.7658,347.6958
ADARB1|104,68.8124,1584.1139
ADARB2|105,0,8.2428
ADAR|103,3948.9456,5362.308
ADAT1|23536,132.0755,167.1038
ADAT2|134637,127.636,50.2061
ADAT3|113179,62.1532,50.5807
ADA|100,593.7847,64.0689
ADCK1|57143,106.5483,217.3099
ADCK2|90956,1167.7469,986.8865
ADCK4|79934,734.7392,710.0037
ADCK5|203054,284.1287,92.9187
ADCY10|55811,1.1099,0.7493
ADCY1|107,23.3074,88.4226
ADCY2|108,17.758,18.7336
ADCY3|109,721.6315,1746.4069
ADCY4|196883,25.5272,344.6984
ADCY5|111,0,116.1484
ADCY6|112,214.2064,710.3784
ADCY7|113,480.5771,1529.4118
ADCY8|114,23.3074,5.2454
ADCY9|115,215.3163,1464.5935
ADCYAP1R1|117,0,0.7493
ADCYAP1|116,7.7691,18.7336
ADC|113451,119.8668,61.0716
ADD1|118,1374.0289,6472.0869
ADD2|119,6.6593,9.7415
ADD3|120,2371.8091,1871.8621
ADH1A|124,19.9778,165.6051
ADH1B|125,385.1276,19989.5092
ADH1C|126,29251.9423,183.5894
ADH4|127,1.1099,2.9974
ADH5|128,4426.1931,4060.3222
ADH6|130,0,20.9816
ADH7|131,7641.5094,29.2244
ADHFE1|137872,67.7026,154.7396
ADI1|55256,1921.1987,3457.4747
ADIG|149685,0,0
ADIPOQ|9370,0,0
ADIPOR1|51094,4196.4484,4271.6373
ADIPOR2|79602,1699.2231,3088.7973
ADK|132,1970.0333,556.7628
ADM2|79924,37.7358,60.3222
ADM|133,8661.4872,356.3132
ADNP2|22850,409.545,627.5759
ADNP|23394,2033.2963,1188.0854
ADORA1|134,8.879,78.3065
ADORA2A|135,150.9434,270.5096
ADORA2B|136,567.1476,177.5946
ADORA3|140,122.0866,136.3807
ADO|84890,429.5228,765.4552
ADPGK|83440,1310.7658,2187.6733
ADPRHL1|113622,3.3296,53.2034
ADPRHL2|54936,936.737,983.5144
ADPRH|141,127.636,1227.0513
ADRA1A|148,0,23.2297
ADRA1B|147,8.879,124.7658
ADRA1D|146,0,42.338
ADRA2A|150,105.4384,180.592
ADRA2B|151,221.9756,5.2454
ADRA2C|152,8.879,73.8104
ADRB1|153,72.1421,378.7936
ADRB2|154,14.4284,683.0274
ADRB3|155,0,5.2454
ADRBK1|156,732.5194,2946.4219
ADRBK2|157,308.5461,966.2795
ADRM1|11047,2516.0932,1910.0787
ADSL|158,1943.3962,1048.7074
ADSSL1|122622,104.3285,154.3649
ADSS|159,2230.8546,1183.964
AEBP1|165,2611.5427,5017.9843
AEBP2|121536,1246.3929,568.7523
AEN|64782,224.1953,452.9786
AES|166,7527.192,13458.9734
AFAP1L1|134265,97.6693,515.5489
AFAP1L2|84632,46.6149,201.5736
AFAP1|60312,244.162,490.2922
AFARP1|246182,1.1099,1.8734
AFF1|4299,287.4584,1235.6688
AFF2|2334,2.2198,92.9187
AFF3|3899,12.2087,548.1454
AFF4|27125,1048.8346,1504.6834
AFG3L1|172,105.4384,80.5545
AFG3L2|10939,413.0855,900.2623
AFMID|125061,923.4184,488.1978
AFM|173,0,1.8734
AFP|174,0,0
AFTPH|54812,1014.4284,1140.5021
AG2|387763,337.4029,2275.7587
AGAP11|119385,3.3296,38.2166
AGAP1|116987,381.798,203.447
AGAP2|116986,66.9034,151.4612
AGAP3|116988,498.3352,1744.8483
AGAP4|119016,137.6249,70.4384
AGAP5|729092,13.3185,11.9895
AGAP6|414189,65.4828,39.3406
AGAP7|653268,4.4395,10.4908
AGAP8|728404,4.4395,5.9948
AGA|175,413.9845,668.4151
AGBL1|123624,0,8.6175
AGBL2|79841,46.6149,32.5965
AGBL3|340351,9.9889,2.6227
AGBL4|84871,11.0988,6.7441
AGBL5|60509,730.3219,641.0678
AGER|177,42.1754,55361.5586
AGFG1|3267,4918.9789,2162.6077
AGFG2|3268,1209.7669,562.3829
AGGF1|55109,500.5549,669.5392
AGK|55750,1041.0655,422.2555
AGL|178,1246.3929,627.5759
AGMAT|79814,81.0211,7.4934
AGPAT1|10554,1650.3774,2211.2589
AGPAT2|10555,704.7725,3972.6489
AGPAT3|56894,692.5638,2024.3537
AGPAT4|56895,45.505,283.2522
AGPAT5|55326,2147.6138,379.9176
AGPAT6|137964,554.939,1137.5047
AGPAT9|84803,169.8113,237.5422
AGPHD1|123688,188.6792,42.7126
AGPS|8540,1649.2786,1527.1637
AGR2|10551,36990.0111,1832.1469
AGR3|155465,1856.8257,1353.3158
AGRN|375790,1932.2974,4122.8925
AGRP|181,1.1099,192.2068
AGTPBP1|23287,227.525,639.9401
AGTR1|185,4.4395,209.8164
AGTR2|186,3.3296,2652.3042
AGTRAP|57085,1869.0344,1632.4466
AGT|183,206.4373,138.254
AGXT2L1|64850,0,0
AGXT2L2|85007,412.242,482.3604
AGXT2|64902,0,2.248
AGXT|189,0,0.7493
AHCTF1|25909,708.1021,609.2169
AHCYL1|10768,3577.1365,3222.5553
AHCYL2|23382,519.4229,2930.6857
AHCY|191,11996.6704,2926.5643
AHDC1|27245,213.0966,357.8119
AHI1|54806,115.4273,210.9404
AHNAK2|113146,162.0422,505.0581
AHNAK|79026,1957.8246,24944.9232
AHRR|57491,19.9778,124.3912
AHR|196,15972.2531,3074.1851
AHSA1|10598,5264.1509,1427.8756
AHSA2|130872,198.6681,109.7789
AHSG|197,0,0.3747
AHSP|51327,1.1099,1.124
AICDA|57379,3.3296,11.9895
AIDA|64853,1496.2264,1227.9468
AIF1L|83543,532.7414,889.8464
AIF1|199,1175.3607,1558.6362
AIFM1|9131,879.0233,587.1113
AIFM2|84883,1254.162,361.9333
AIFM3|150209,37.7358,47.8569
AIG1|51390,1600.444,599.1008
AIM1L|55057,162.0422,30.3484
AIM1|202,441.7314,923.1922
AIM2|9447,130.9656,10.8655
AIMP1|9255,912.5416,1031.5511
AIMP2|7965,191.2764,378.3102
AIPL1|23746,0,0
AIP|9049,2184.2397,2263.0199
AIRE|326,0,0
AJAP1|55966,2.2198,8.2428
AK1|203,380.6881,4589.734
AK2|204,6031.0766,2329.3368
AK3L1|205,2306.3263,18.7336
AK3|50808,1367.3696,1640.6894
AK5|26289,15.5383,3.372
AK7|122481,34.4062,192.9562
AKAP10|11216,371.8091,410.6407
AKAP11|11215,637.0699,1199.7003
AKAP12|9590,229.7447,1459.3481
AKAP13|11214,371.8091,5297.4897
AKAP14|158798,0,79.0558
AKAP1|8165,1076.5816,1665.4178
AKAP2|11217,108.9345,2041.7685
AKAP3|10566,7.7691,33.3458
AKAP4|8852,0,0
AKAP5|9495,102.1088,213.1885
AKAP6|9472,69.9223,164.1064
AKAP7|9465,155.3829,246.1596
AKAP8L|26993,566.0377,481.4537
AKAP8|10270,449.5006,494.9419
AKAP9|10142,629.3008,824.6534
AKD1|221264,48.8346,108.2803
AKIRIN1|79647,1107.6582,1440.2398
AKIRIN2|55122,1192.0089,1363.8067
AKNAD1|254268,1.1099,1.8734
